id	date	source	rating_numerator	rating_denominator	rate	name	dog_stage	favorite_count	retweet_count	image	predicted_dog
892420643555336193	2017/08/01	Twitter for iPhone	13	10	1.3	Phineas	None	39467	8853	https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg	ORANGE
892177421306343426	2017/08/01	Twitter for iPhone	13	10	1.3	Tilly	None	33819	6514	https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg	CHIHUAHUA
891815181378084864	2017/07/31	Twitter for iPhone	12	10	1.2	Archie	None	25461	4328	https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg	CHIHUAHUA
891689557279858688	2017/07/30	Twitter for iPhone	13	10	1.3	Darla	None	42908	8964	https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg	PAPER_TOWEL
891327558926688256	2017/07/29	Twitter for iPhone	12	10	1.2	Franklin	None	41048	9774	https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg	ENGLISH_SPRINGER
891087950875897856	2017/07/29	Twitter for iPhone	13	10	1.3	None	None	20562	3261	https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg	CHESAPEAKE_BAY_RETRIEVER
890971913173991426	2017/07/28	Twitter for iPhone	13	10	1.3	Jax	None	12041	2158	https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg	APPENZELLER
890729181411237888	2017/07/28	Twitter for iPhone	13	10	1.3	None	None	56848	16716	https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg	ESKIMO_DOG
890609185150312448	2017/07/27	Twitter for iPhone	13	10	1.3	Zoey	None	28226	4429	https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg	IRISH_TERRIER
890240255349198849	2017/07/26	Twitter for iPhone	14	10	1.4	Cassie	doggo	32467	7711	https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg	PEMBROKE
890006608113172480	2017/07/26	Twitter for iPhone	13	10	1.3	Koda	None	31166	7624	https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg	SAMOYED
889880896479866881	2017/07/25	Twitter for iPhone	13	10	1.3	Bruno	None	28268	5156	https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg	FRENCH_BULLDOG
889665388333682689	2017/07/25	Twitter for iPhone	13	10	1.3	None	puppo	38818	8538	https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg	PEMBROKE
889638837579907072	2017/07/25	Twitter for iPhone	12	10	1.2	Ted	None	27672	4735	https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg	FRENCH_BULLDOG
889531135344209921	2017/07/24	Twitter for iPhone	13	10	1.3	Stuart	puppo	15359	2321	https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg	GOLDEN_RETRIEVER
889278841981685760	2017/07/24	Twitter for iPhone	13	10	1.3	Oliver	None	25652	5637	https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg	WHIPPET
888917238123831296	2017/07/23	Twitter for iPhone	12	10	1.2	Jim	None	29611	4709	https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg	GOLDEN_RETRIEVER
888804989199671297	2017/07/22	Twitter for iPhone	13	10	1.3	Zeke	None	26080	4559	https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg	GOLDEN_RETRIEVER
888554962724278272	2017/07/22	Twitter for iPhone	13	10	1.3	Ralphus	None	20290	3732	https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg	MALAMUTE
888078434458587136	2017/07/20	Twitter for iPhone	12	10	1.2	Gerald	None	22201	3653	https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg	FRENCH_BULLDOG
887705289381826560	2017/07/19	Twitter for iPhone	13	10	1.3	Jeffrey	None	30779	5609	https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg	BASSET
887517139158093824	2017/07/19	Twitter for iPhone	14	10	1.4	such	None	46959	12082	https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg	LIMOUSINE
887473957103951883	2017/07/19	Twitter for iPhone	13	10	1.3	Canela	None	69871	18781	https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg	RHODESIAN_RIDGEBACK
887343217045368832	2017/07/18	Twitter for iPhone	13	10	1.3	None	None	34222	10737	https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg	MEXICAN_HAIRLESS
887101392804085760	2017/07/18	Twitter for iPhone	12	10	1.2	None	None	31061	6167	https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg	SAMOYED
886983233522544640	2017/07/17	Twitter for iPhone	13	10	1.3	Maya	None	35859	8084	https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg	TOY_TERRIER
886736880519319552	2017/07/16	Twitter for iPhone	13	10	1.3	Mingus	None	12306	3443	https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg	KUVASZ
886680336477933568	2017/07/16	Twitter for iPhone	13	10	1.3	Derek	None	22798	4610	https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg	CONVERTIBLE
886366144734445568	2017/07/15	Twitter for iPhone	12	10	1.2	Roscoe	pupper	21524	3316	https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg	FRENCH_BULLDOG
886267009285017600	2017/07/15	Twitter for iPhone	12	10	1.2	None	None	117	4		
886258384151887873	2017/07/15	Twitter for iPhone	13	10	1.3	Waffles	None	28469	6523	https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg	PUG
886054160059072513	2017/07/15	Twitter for iPhone	12	10	1.2	None	None	0	108		
885984800019947520	2017/07/14	Twitter for iPhone	12	10	1.2	Jimbo	None	33382	7097	https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg	BLENHEIM_SPANIEL
885528943205470208	2017/07/13	Twitter for iPhone	13	10	1.3	Maisey	None	36689	6683	https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg	PUG
885518971528720385	2017/07/13	Twitter for iPhone	14	10	1.4	None	None	20788	3899		
885311592912609280	2017/07/13	Twitter for iPhone	13	10	1.3	Lilly	None	0	19297	https://pbs.twimg.com/media/C4bTH6nWMAAX_bJ.jpg	LABRADOR_RETRIEVER
885167619883638784	2017/07/12	Twitter for iPhone	13	10	1.3	None	None	22367	4556	https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg	
884925521741709313	2017/07/12	Twitter for iPhone	12	10	1.2	Earl	None	68152	16439	https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg	ITALIAN_GREYHOUND
884876753390489601	2017/07/11	Twitter for iPhone	13	10	1.3	Lola	None	28514	6096	https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg	CHOW
884562892145688576	2017/07/11	Twitter for iPhone	13	10	1.3	Kevin	None	24765	5100	https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg	PUG
884441805382717440	2017/07/10	Twitter for iPhone	14	10	1.4	None	None	27478	5856	https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg	PEMBROKE
884247878851493888	2017/07/10	Twitter for iPhone	13	10	1.3	None	None	74423	21298		
884162670584377345	2017/07/09	Twitter for iPhone	12	10	1.2	Yogi	doggo	20771	3128	https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg	GERMAN_SHEPHERD
